"","Product_Num","Year","Month","total_demand"
"150","SH150",1997,1,276
"151","SH151",1997,1,268
"152","SH152",1997,1,229
"153","SH153",1997,1,235
"154","SH154",1997,1,225
"155","SH155",1997,1,225
"156","SH156",1997,1,214
"157","SH157",1997,1,221
"158","SH158",1997,1,245
"159","SH159",1997,1,213
"160","SH160",1997,1,189
"161","SH161",1997,1,202
"162","SH162",1997,1,223
"163","SH163",1997,1,189
"164","SH164",1997,1,242
"165","SH165",1997,1,210
"166","SH166",1997,1,240
"167","SH167",1997,1,244
"168","SH168",1997,1,224
"169","SH169",1997,1,246
"170","SH170",1997,1,245
"171","SH171",1997,1,234
"172","SH172",1997,1,187
"173","SH173",1997,1,278
"174","SH174",1997,1,247
"175","SH175",1997,1,189
"176","SH176",1997,1,223
"177","SH177",1997,1,278
"178","SH178",1997,1,237
"179","SH179",1997,1,211
"180","SH180",1997,1,285
"181","SH181",1997,1,253
"182","SH182",1997,1,251
"183","SH183",1997,1,203
"184","SH184",1997,1,177
"185","SH185",1997,1,237
"186","SH186",1997,1,246
"187","SH187",1997,1,240
"188","SH188",1997,1,216
"189","SH189",1997,1,206
"190","SH190",1997,1,224
"191","SH191",1997,1,209
"192","SH192",1997,1,267
"193","SH193",1997,1,208
"194","SH194",1997,1,190
"195","SH195",1997,1,235
"196","SH196",1997,1,240
"197","SH197",1997,1,226
"198","SH198",1997,1,238
"199","SH199",1997,1,206
"200","SH200",1997,1,199
"201","SH201",1997,1,184
"202","SH202",1997,1,218
"203","SH203",1997,1,219
"204","SH204",1997,1,249
"205","SH205",1997,1,224
"206","SH206",1997,1,261
"207","SH207",1997,1,177
"208","SH208",1997,1,239
"209","SH209",1997,1,225
"210","SH210",1997,1,221
"211","SH211",1997,1,259
"212","SH212",1997,1,208
"213","SH213",1997,1,210
"214","SH214",1997,1,202
"215","SH215",1997,1,236
"216","SH216",1997,1,254
"217","SH217",1997,1,230
"218","SH218",1997,1,194
"219","SH219",1997,1,224
"220","SH220",1997,1,230
"221","SH221",1997,1,215
"222","SH222",1997,1,208
"223","SH223",1997,1,226
"224","SH224",1997,1,220
"225","SH225",1997,1,260
"226","SH226",1997,1,201
"227","SH227",1997,1,244
"228","SH228",1997,1,220
"229","SH229",1997,1,223
"230","SH230",1997,1,251
"231","SH231",1997,1,234
"232","SH232",1997,1,240
"233","SH233",1997,1,226
"234","SH234",1997,1,229
"235","SH235",1997,1,213
"236","SH236",1997,1,193
"237","SH237",1997,1,220
"238","SH238",1997,1,240
"239","SH239",1997,1,227
"240","SH240",1997,1,178
"241","SH241",1997,1,262
"242","SH242",1997,1,235
"243","SH243",1997,1,251
"244","SH244",1997,1,256
"245","SH245",1997,1,213
"246","SH246",1997,1,241
"247","SH247",1997,1,214
"248","SH248",1997,1,248
"249","SH249",1997,1,231
"250","SH250",1997,1,236
"251","SH251",1997,1,206
"252","SH252",1997,1,192
"253","SH253",1997,1,225
"254","SH254",1997,1,211
"255","SH255",1997,1,241
"256","SH256",1997,1,240
"257","SH257",1997,1,200
"258","SH258",1997,1,234
"259","SH259",1997,1,219
"260","SH260",1997,1,245
"261","SH261",1997,1,223
"262","SH262",1997,1,252
"263","SH263",1997,1,194
"264","SH264",1997,1,234
"265","SH265",1997,1,213
"266","SH266",1997,1,219
"267","SH267",1997,1,204
"268","SH268",1997,1,201
"269","SH269",1997,1,207
"270","SH270",1997,1,247
"271","SH271",1997,1,221
"272","SH272",1997,1,200
"273","SH273",1997,1,214
"274","SH274",1997,1,216
"275","SH275",1997,1,244
"276","SH276",1997,1,205
"277","SH277",1997,1,213
"278","SH278",1997,1,215
"279","SH279",1997,1,240
"280","SH280",1997,1,202
"281","SH281",1997,1,211
"282","SH282",1997,1,177
"283","SH283",1997,1,218
"284","SH284",1997,1,233
"285","SH285",1997,1,240
"286","SH286",1997,1,207
"287","SH287",1997,1,223
"288","SH288",1997,1,194
"289","SH289",1997,1,226
"290","SH290",1997,1,235
"291","SH291",1997,1,202
"292","SH292",1997,1,244
"293","SH293",1997,1,201
"294","SH294",1997,1,217
"295","SH295",1997,1,237
"296","SH296",1997,1,204
"297","SH297",1997,1,240
"298","SH298",1997,1,163
"299","SH299",1997,1,262
"300","SH300",1997,1,242
"301","SH301",1997,1,205
"302","SH302",1997,1,234
"303","SH303",1997,1,181
"304","SH304",1997,1,247
"305","SH305",1997,1,231
"306","SH306",1997,1,239
"307","SH307",1997,1,217
"308","SH308",1997,1,214
"309","SH309",1997,1,236
"310","SH310",1997,1,264
"311","SH311",1997,1,218
"312","SH312",1997,1,225
"313","SH313",1997,1,230
"314","SH314",1997,1,206
"315","SH315",1997,1,199
"316","SH316",1997,1,216
"317","SH317",1997,1,213
"318","SH318",1997,1,236
"319","SH319",1997,1,222
"320","SH320",1997,1,236
"321","SH321",1997,1,235
"322","SH322",1997,1,236
"323","SH323",1997,1,251
"324","SH324",1997,1,198
"325","SH325",1997,1,232
"326","SH326",1997,1,222
"327","SH327",1997,1,226
"328","SH328",1997,1,196
"329","SH329",1997,1,254
"330","SH330",1997,1,179
"331","SH331",1997,1,167
"332","SH332",1997,1,219
"333","SH333",1997,1,225
"334","SH334",1997,1,226
"335","SH335",1997,1,180
"336","SH336",1997,1,208
"337","SH337",1997,1,197
"338","SH338",1997,1,216
"339","SH339",1997,1,232
"340","SH340",1997,1,185
"341","SH341",1997,1,202
"342","SH342",1997,1,245
"343","SH343",1997,1,199
"344","SH344",1997,1,243
"345","SH345",1997,1,188
"346","SH346",1997,1,224
"347","SH347",1997,1,221
"348","SH348",1997,1,186
"349","SH349",1997,1,202
"350","SH350",1997,1,221
"351","SH351",1997,1,245
"352","SH352",1997,1,231
"353","SH353",1997,1,222
"354","SH354",1997,1,218
"355","SH355",1997,1,257
"356","SH356",1997,1,178
"357","SH357",1997,1,212
"358","SH358",1997,1,246
"359","SH359",1997,1,225
"360","SH360",1997,1,215
"361","SH361",1997,1,242
"362","SH362",1997,1,246
"363","SH363",1997,1,270
"364","SH364",1997,1,192
"365","SH365",1997,1,181
"366","SH366",1997,1,175
"367","SH367",1997,1,154
"368","SH368",1997,1,226
"369","SH369",1997,1,166
"370","SH370",1997,1,186
"371","SH371",1997,1,225
"372","SH372",1997,1,207
"373","SH373",1997,1,241
"374","SH374",1997,1,203
"375","SH375",1997,1,219
"376","SH376",1997,1,172
"377","SH377",1997,1,243
"378","SH378",1997,1,214
"379","SH379",1997,1,250
"380","SH380",1997,1,236
"381","SH381",1997,1,211
"382","SH382",1997,1,209
"383","SH383",1997,1,205
"384","SH384",1997,1,268
"385","SH385",1997,1,194
"386","SH386",1997,1,275
"387","SH387",1997,1,234
"388","SH388",1997,1,187
"389","SH389",1997,1,220
"390","SH390",1997,1,205
"391","SH391",1997,1,218
"392","SH392",1997,1,200
"393","SH393",1997,1,198
"394","SH394",1997,1,241
"395","SH395",1997,1,240
"396","SH396",1997,1,223
"397","SH397",1997,1,187
"398","SH398",1997,1,233
"399","SH399",1997,1,232
"400","SH400",1997,1,209
"401","SH401",1997,1,197
"402","SH402",1997,1,211
"403","SH403",1997,1,252
"404","SH404",1997,1,278
"405","SH405",1997,1,249
"406","SH406",1997,1,219
"407","SH407",1997,1,222
"408","SH408",1997,1,201
"409","SH409",1997,1,218
"410","SH410",1997,1,194
"411","SH411",1997,1,197
"412","SH412",1997,1,213
"413","SH413",1997,1,253
"414","SH414",1997,1,188
"415","SH415",1997,1,204
"416","SH416",1997,1,238
"417","SH417",1997,1,261
"418","SH418",1997,1,231
"419","SH419",1997,1,205
"420","SH420",1997,1,237
"421","SH421",1997,1,224
"422","SH422",1997,1,214
"423","SH423",1997,1,222
"424","SH424",1997,1,205
"425","SH425",1997,1,221
"426","SH426",1997,1,172
"427","SH427",1997,1,186
"428","SH428",1997,1,221
"429","SH429",1997,1,117
"430","SH430",1997,1,235
"431","SH431",1997,1,201
"432","SH432",1997,1,220
"433","SH433",1997,1,249
"434","SH434",1997,1,197
"435","SH435",1997,1,247
"436","SH436",1997,1,178
"437","SH437",1997,1,192
"438","SH438",1997,1,176
"439","SH439",1997,1,253
"440","SH440",1997,1,218
"441","SH441",1997,1,203
"442","SH442",1997,1,258
"443","SH443",1997,1,188
"444","SH444",1997,1,240
"445","SH445",1997,1,234
"446","SH446",1997,1,246
"447","SH447",1997,1,259
"448","SH448",1997,1,190
"449","SH449",1997,1,283
"450","SH450",1997,1,204
"451","SH451",1997,1,212
"452","SH452",1997,1,197
"453","SH453",1997,1,245
"454","SH454",1997,1,234
"455","SH455",1997,1,217
"456","SH456",1997,1,216
"457","SH457",1997,1,203
"458","SH458",1997,1,229
"459","SH459",1997,1,181
"460","SH460",1997,1,257
"461","SH461",1997,1,250
"462","SH462",1997,1,233
"463","SH463",1997,1,240
"464","SH464",1997,1,224
"465","SH465",1997,1,213
"466","SH466",1997,1,250
"467","SH467",1997,1,216
"468","SH468",1997,1,221
"469","SH469",1997,1,240
"470","SH470",1997,1,191
"471","SH471",1997,1,169
"472","SH472",1997,1,226
"473","SH473",1997,1,195
"474","SH474",1997,1,235
"475","SH475",1997,1,179
"476","SH476",1997,1,194
"477","SH477",1997,1,223
"478","SH478",1997,1,207
"479","SH479",1997,1,203
"480","SH480",1997,1,210
"481","SH481",1997,1,227
"482","SH482",1997,1,204
"483","SH483",1997,1,168
"484","SH484",1997,1,209
"485","SH485",1997,1,159
"486","SH486",1997,1,203
"487","SH487",1997,1,255
"488","SH488",1997,1,250
"489","SH489",1997,1,178
"490","SH490",1997,1,214
"491","SH491",1997,1,220
"492","SH492",1997,1,217
"493","SH493",1997,1,246
"494","SH494",1997,1,199
"495","SH495",1997,1,209
"496","SH496",1997,1,205
"497","SH497",1997,1,201
"498","SH498",1997,1,242
"499","SH499",1997,1,240
"500","SH500",1997,1,219
"501","SH501",1997,1,209
"502","SH502",1997,1,236
"503","SH503",1997,1,218
"504","SH504",1997,1,210
"505","SH505",1997,1,244
"506","SH506",1997,1,214
"507","SH507",1997,1,187
"508","SH508",1997,1,234
"509","SH509",1997,1,218
"510","SH510",1997,1,230
"511","SH511",1997,1,230
"512","SH512",1997,1,198
"513","SH513",1997,1,271
"514","SH514",1997,1,233
"515","SH515",1997,1,237
"516","SH516",1997,1,283
"517","SH517",1997,1,236
"518","SH518",1997,1,237
"519","SH519",1997,1,195
"520","SH520",1997,1,224
"521","SH521",1997,1,219
"522","SH522",1997,1,242
"523","SH523",1997,1,175
"524","SH524",1997,1,214
"525","SH525",1997,1,218
"526","SH526",1997,1,235
"527","SH527",1997,1,226
"528","SH528",1997,1,213
"529","SH529",1997,1,256
"530","SH530",1997,1,221
"531","SH531",1997,1,227
"532","SH532",1997,1,260
"533","SH533",1997,1,201
"534","SH534",1997,1,244
"535","SH535",1997,1,209
"536","SH536",1997,1,203
"537","SH537",1997,1,200
"538","SH538",1997,1,220
"539","SH539",1997,1,218
"540","SH540",1997,1,225
"541","SH541",1997,1,174
"542","SH542",1997,1,206
"543","SH543",1997,1,154
"544","SH544",1997,1,234
"545","SH545",1997,1,211
"546","SH546",1997,1,201
"547","SH547",1997,1,219
"548","SH548",1997,1,244
"549","SH549",1997,1,216
"550","SH550",1997,1,214
"551","SH551",1997,1,219
"552","SH552",1997,1,231
"553","SH553",1997,1,256
"554","SH554",1997,1,211
"555","SH555",1997,1,195
"556","SH556",1997,1,199
"557","SH557",1997,1,231
"558","SH001",1997,2,248
"559","SH002",1997,2,228
"560","SH003",1997,2,213
"561","SH004",1997,2,219
"562","SH005",1997,2,241
"563","SH006",1997,2,213
"564","SH007",1997,2,237
"565","SH008",1997,2,188
"566","SH009",1997,2,220
"567","SH010",1997,2,172
"568","SH011",1997,2,208
"569","SH012",1997,2,200
"570","SH013",1997,2,204
"571","SH014",1997,2,214
"572","SH015",1997,2,194
"573","SH016",1997,2,240
"574","SH017",1997,2,252
"575","SH018",1997,2,264
"576","SH019",1997,2,201
"577","SH020",1997,2,199
"578","SH021",1997,2,217
"579","SH022",1997,2,230
"580","SH023",1997,2,234
"581","SH024",1997,2,185
"582","SH025",1997,2,201
"583","SH026",1997,2,216
"584","SH027",1997,2,231
"585","SH028",1997,2,253
"586","SH029",1997,2,220
"587","SH030",1997,2,238
"588","SH031",1997,2,234
"589","SH032",1997,2,246
"590","SH033",1997,2,208
"591","SH034",1997,2,182
"592","SH035",1997,2,223
"593","SH036",1997,2,227
"594","SH037",1997,2,228
"595","SH038",1997,2,218
"596","SH039",1997,2,227
"597","SH040",1997,2,219
"598","SH041",1997,2,230
"599","SH042",1997,2,164
"600","SH043",1997,2,242
"601","SH044",1997,2,215
"602","SH045",1997,2,213
"603","SH046",1997,2,237
"604","SH047",1997,2,185
"605","SH048",1997,2,212
"606","SH049",1997,2,218
"607","SH050",1997,2,208
"608","SH051",1997,2,195
"609","SH052",1997,2,220
"610","SH053",1997,2,212
"611","SH054",1997,2,262
"612","SH055",1997,2,198
"613","SH056",1997,2,185
"614","SH057",1997,2,235
"615","SH058",1997,2,224
"616","SH059",1997,2,188
"617","SH060",1997,2,230
"618","SH061",1997,2,206
"619","SH062",1997,2,221
"620","SH063",1997,2,178
"621","SH064",1997,2,230
"622","SH065",1997,2,215
"623","SH066",1997,2,197
"624","SH067",1997,2,247
"625","SH068",1997,2,223
"626","SH069",1997,2,201
"627","SH070",1997,2,204
"628","SH071",1997,2,209
"629","SH072",1997,2,208
"630","SH073",1997,2,229
"631","SH074",1997,2,246
"632","SH075",1997,2,222
"633","SH076",1997,2,210
"634","SH077",1997,2,155
"635","SH078",1997,2,218
"636","SH079",1997,2,202
"637","SH080",1997,2,201
"638","SH081",1997,2,211
"639","SH082",1997,2,215
"640","SH083",1997,2,180
"641","SH084",1997,2,236
"642","SH085",1997,2,246
"643","SH086",1997,2,223
"644","SH087",1997,2,210
"645","SH088",1997,2,227
"646","SH089",1997,2,208
"647","SH090",1997,2,247
"648","SH091",1997,2,232
"649","SH092",1997,2,202
"650","SH093",1997,2,155
"651","SH094",1997,2,231
"652","SH095",1997,2,203
"653","SH096",1997,2,233
"654","SH097",1997,2,222
"655","SH098",1997,2,223
"656","SH099",1997,2,237
"657","SH100",1997,2,201
"658","SH101",1997,2,252
"659","SH102",1997,2,229
"660","SH103",1997,2,195
"661","SH104",1997,2,206
"662","SH105",1997,2,180
"663","SH106",1997,2,189
"664","SH107",1997,2,171
"665","SH108",1997,2,186
"666","SH109",1997,2,204
"667","SH110",1997,2,209
"668","SH111",1997,2,191
"669","SH112",1997,2,213
"670","SH113",1997,2,183
"671","SH114",1997,2,178
"672","SH115",1997,2,217
"673","SH116",1997,2,235
"674","SH117",1997,2,216
"675","SH118",1997,2,192
"676","SH119",1997,2,250
"677","SH120",1997,2,255
"678","SH121",1997,2,263
"679","SH122",1997,2,279
"680","SH123",1997,2,224
"681","SH124",1997,2,279
"682","SH125",1997,2,231
"683","SH126",1997,2,210
"684","SH127",1997,2,242
"685","SH128",1997,2,252
"686","SH129",1997,2,207
"687","SH130",1997,2,241
"688","SH131",1997,2,229
"689","SH132",1997,2,263
"690","SH133",1997,2,235
"691","SH134",1997,2,305
"692","SH135",1997,2,210
"693","SH136",1997,2,191
"694","SH137",1997,2,211
"695","SH138",1997,2,231
"696","SH139",1997,2,214
"697","SH140",1997,2,227
"698","SH141",1997,2,181
"699","SH142",1997,2,247
"700","SH143",1997,2,228
"701","SH144",1997,2,227
"702","SH145",1997,2,175
"703","SH146",1997,2,262
"704","SH147",1997,2,196
"705","SH148",1997,2,196
"706","SH149",1997,2,231
"707","SH150",1997,2,209
"708","SH151",1997,2,219
"709","SH152",1997,2,231
"710","SH153",1997,2,227
"711","SH154",1997,2,190
"712","SH155",1997,2,200
"713","SH156",1997,2,234
"714","SH157",1997,2,224
"715","SH158",1997,2,256
"716","SH159",1997,2,219
"717","SH160",1997,2,189
"718","SH161",1997,2,233
"719","SH162",1997,2,232
"720","SH163",1997,2,207
"721","SH164",1997,2,247
"722","SH165",1997,2,222
"723","SH166",1997,2,258
"724","SH167",1997,2,161
"725","SH168",1997,2,226
"726","SH169",1997,2,211
"727","SH170",1997,2,216
"728","SH171",1997,2,234
"729","SH172",1997,2,223
"730","SH173",1997,2,219
"731","SH174",1997,2,224
"732","SH175",1997,2,235
"733","SH176",1997,2,232
"734","SH177",1997,2,201
"735","SH178",1997,2,217
"736","SH179",1997,2,219
"737","SH180",1997,2,203
"738","SH181",1997,2,234
"739","SH182",1997,2,209
"740","SH183",1997,2,268
"741","SH184",1997,2,241
"742","SH185",1997,2,240
"743","SH186",1997,2,220
"744","SH187",1997,2,204
"745","SH188",1997,2,241
"746","SH189",1997,2,171
"747","SH190",1997,2,204
"748","SH191",1997,2,236
"749","SH192",1997,2,234
"750","SH193",1997,2,212
"751","SH194",1997,2,253
"752","SH195",1997,2,241
"753","SH196",1997,2,239
"754","SH197",1997,2,174
"755","SH198",1997,2,257
"756","SH199",1997,2,227
"757","SH200",1997,2,215
"758","SH201",1997,2,230
"759","SH202",1997,2,204
"760","SH203",1997,2,257
"761","SH204",1997,2,209
"762","SH205",1997,2,169
"763","SH206",1997,2,209
"764","SH207",1997,2,247
"765","SH208",1997,2,201
"766","SH209",1997,2,209
"767","SH210",1997,2,194
"768","SH211",1997,2,237
"769","SH212",1997,2,171
"770","SH213",1997,2,169
"771","SH214",1997,2,190
"772","SH215",1997,2,182
"773","SH216",1997,2,194
"774","SH217",1997,2,219
"775","SH218",1997,2,232
"776","SH219",1997,2,246
"777","SH220",1997,2,200
"778","SH221",1997,2,220
"779","SH222",1997,2,256
"780","SH223",1997,2,251
"781","SH224",1997,2,260
"782","SH225",1997,2,204
"783","SH226",1997,2,206
"784","SH227",1997,2,172
"785","SH228",1997,2,250
"786","SH229",1997,2,217
"787","SH230",1997,2,222
"788","SH231",1997,2,216
"789","SH232",1997,2,239
"790","SH233",1997,2,217
"791","SH234",1997,2,202
"792","SH235",1997,2,233
"793","SH236",1997,2,252
"794","SH237",1997,2,242
"795","SH238",1997,2,268
"796","SH239",1997,2,244
"797","SH240",1997,2,237
"798","SH241",1997,2,194
"799","SH242",1997,2,213
"800","SH243",1997,2,231
"801","SH244",1997,2,265
"802","SH245",1997,2,216
"803","SH246",1997,2,236
"804","SH247",1997,2,212
"805","SH248",1997,2,199
"806","SH249",1997,2,189
"807","SH250",1997,2,205
"808","SH251",1997,2,271
"809","SH252",1997,2,244
"810","SH253",1997,2,202
"811","SH254",1997,2,226
"812","SH255",1997,2,215
"813","SH256",1997,2,225
"814","SH257",1997,2,249
"815","SH258",1997,2,251
"816","SH259",1997,2,263
"817","SH260",1997,2,210
"818","SH261",1997,2,207
"819","SH262",1997,2,204
"820","SH263",1997,2,220
"821","SH264",1997,2,238
"822","SH265",1997,2,200
"823","SH266",1997,2,203
"824","SH267",1997,2,216
"825","SH268",1997,2,240
"826","SH269",1997,2,242
"827","SH270",1997,2,201
"828","SH271",1997,2,202
"829","SH272",1997,2,178
"830","SH273",1997,2,232
"831","SH274",1997,2,224
"832","SH275",1997,2,196
"833","SH276",1997,2,217
"834","SH277",1997,2,222
"835","SH278",1997,2,210
"836","SH279",1997,2,200
"837","SH280",1997,2,240
"838","SH281",1997,2,193
"839","SH282",1997,2,242
"840","SH283",1997,2,180
"841","SH284",1997,2,232
"842","SH285",1997,2,231
"843","SH286",1997,2,242
"844","SH287",1997,2,198
"845","SH288",1997,2,218
"846","SH289",1997,2,255
"847","SH290",1997,2,235
"848","SH291",1997,2,225
"849","SH292",1997,2,249
"850","SH293",1997,2,204
"851","SH294",1997,2,237
"852","SH295",1997,2,219
"853","SH296",1997,2,242
"854","SH297",1997,2,222
"855","SH298",1997,2,242
"856","SH299",1997,2,214
"857","SH300",1997,2,237
"858","SH301",1997,2,226
"859","SH302",1997,2,219
"860","SH303",1997,2,178
"861","SH304",1997,2,214
"862","SH305",1997,2,198
"863","SH306",1997,2,227
"864","SH307",1997,2,206
"865","SH308",1997,2,194
"866","SH309",1997,2,188
"867","SH310",1997,2,208
"868","SH311",1997,2,171
"869","SH312",1997,2,280
"870","SH313",1997,2,219
"871","SH314",1997,2,225
"872","SH315",1997,2,237
"873","SH316",1997,2,232
"874","SH317",1997,2,182
"875","SH318",1997,2,234
"876","SH319",1997,2,225
"877","SH320",1997,2,235
"878","SH321",1997,2,229
"879","SH322",1997,2,249
"880","SH323",1997,2,185
"881","SH324",1997,2,200
"882","SH325",1997,2,261
"883","SH326",1997,2,227
"884","SH327",1997,2,204
"885","SH328",1997,2,201
"886","SH329",1997,2,185
"887","SH330",1997,2,227
"888","SH331",1997,2,194
"889","SH332",1997,2,237
"890","SH333",1997,2,263
"891","SH334",1997,2,180
"892","SH335",1997,2,176
"893","SH336",1997,2,221
"894","SH337",1997,2,236
"895","SH338",1997,2,201
"896","SH339",1997,2,248
"897","SH340",1997,2,243
"898","SH341",1997,2,221
"899","SH342",1997,2,205
"900","SH343",1997,2,278
"901","SH344",1997,2,246
"902","SH345",1997,2,263
"903","SH346",1997,2,201
"904","SH347",1997,2,245
"905","SH348",1997,2,222
"906","SH349",1997,2,172
"907","SH350",1997,2,200
"908","SH351",1997,2,184
"909","SH352",1997,2,199
"910","SH353",1997,2,206
"911","SH354",1997,2,233
"912","SH355",1997,2,195
"913","SH356",1997,2,227
"914","SH357",1997,2,185
"915","SH358",1997,2,210
"916","SH359",1997,2,225
"917","SH360",1997,2,258
"918","SH361",1997,2,217
"919","SH362",1997,2,207
"920","SH363",1997,2,216
"921","SH364",1997,2,222
"922","SH365",1997,2,208
"923","SH366",1997,2,226
"924","SH367",1997,2,242
"925","SH368",1997,2,225
"926","SH369",1997,2,183
"927","SH370",1997,2,179
"928","SH371",1997,2,179
"929","SH372",1997,2,221
"930","SH373",1997,2,178
"931","SH374",1997,2,198
"932","SH375",1997,2,261
"933","SH376",1997,2,230
"934","SH377",1997,2,185
"935","SH378",1997,2,213
"936","SH379",1997,2,234
"937","SH380",1997,2,214
"938","SH381",1997,2,259
"939","SH382",1997,2,250
"940","SH383",1997,2,207
"941","SH384",1997,2,262
"942","SH385",1997,2,248
"943","SH386",1997,2,242
"944","SH387",1997,2,192
"945","SH388",1997,2,226
"946","SH389",1997,2,254
"947","SH390",1997,2,220
"948","SH391",1997,2,236
"949","SH392",1997,2,202
"950","SH393",1997,2,207
"951","SH394",1997,2,221
"952","SH395",1997,2,241
"953","SH396",1997,2,282
"954","SH397",1997,2,215
"955","SH398",1997,2,212
"956","SH399",1997,2,212
"957","SH400",1997,2,222
"958","SH401",1997,2,235
"959","SH402",1997,2,192
"960","SH403",1997,2,218
"961","SH404",1997,2,227
"962","SH405",1997,2,216
"963","SH406",1997,2,195
"964","SH407",1997,2,216
"965","SH408",1997,2,284
"966","SH409",1997,2,200
"967","SH410",1997,2,261
"968","SH411",1997,2,199
"969","SH412",1997,2,254
"970","SH413",1997,2,251
"971","SH414",1997,2,208
"972","SH415",1997,2,207
"973","SH416",1997,2,215
"974","SH417",1997,2,206
"975","SH418",1997,2,254
"976","SH419",1997,2,227
"977","SH420",1997,2,228
"978","SH421",1997,2,250
"979","SH422",1997,2,209
"980","SH423",1997,2,226
"981","SH424",1997,2,189
"982","SH425",1997,2,225
"983","SH426",1997,2,220
"984","SH427",1997,2,210
"985","SH428",1997,2,220
"986","SH429",1997,2,240
"987","SH430",1997,2,191
"988","SH431",1997,2,199
"989","SH432",1997,2,233
"990","SH433",1997,2,263
"991","SH434",1997,2,261
"992","SH435",1997,2,235
"993","SH436",1997,2,191
"994","SH437",1997,2,216
"995","SH438",1997,2,200
"996","SH439",1997,2,214
"997","SH440",1997,2,236
